x,y,count,cluster,z_min,z_max,z_mean,z_std,canopy_height,point_density,intensity_mean,intensity_std
770170.6300000001,6270686.879999999,5,,5.85,5.96,5.898,0.04549725266430893,0.11000000000000032,505.0505050505036,nan,nan
770171.2300000001,6270686.879999999,1,,5.91,5.91,5.91,0.0,0.0,11.11111111111111,nan,nan
770174.2300000001,6270686.879999999,1,,5.9,5.9,5.9,0.0,0.0,11.11111111111111,nan,nan
770174.53,6270686.879999999,3,,5.57,5.99,5.830000000000001,0.22715633383201078,0.41999999999999993,79.36507936507938,nan,nan
770174.8300000001,6270686.879999999,3,,5.98,6.07,6.036666666666666,0.04932882862316219,0.08999999999999986,370.37037037037095,nan,nan
770175.1300000001,6270686.879999999,1,,6.08,6.08,6.08,0.0,0.0,11.11111111111111,nan,nan
770159.2300000001,6270687.18,2,,5.68,5.79,5.734999999999999,0.07778174593052077,0.11000000000000032,202.02020202020142,nan,nan
770159.8300000001,6270687.18,3,,5.41,5.67,5.513333333333333,0.13796134724383213,0.2599999999999998,128.20512820512832,nan,nan
770160.1300000001,6270687.18,5,,5.59,5.66,5.6259999999999994,0.025099800796022205,0.07000000000000028,793.6507936507904,nan,nan
770160.43,6270687.18,7,,5.53,5.78,5.630000000000001,0.088881944173156,0.25,311.11111111111114,nan,nan
770164.3300000001,6270687.18,2,,5.66,5.74,5.7,0.05656854249492385,0.08000000000000007,277.77777777777754,nan,nan
