row_id,seq,x,y,status,nearest_dist_m
-2281024,28,770179.2602489031,6270786.936243915,present,0.01157887602333845
-2281024,29,770180.1240347219,6270786.4070778275,present,0.059243759527956304
-2281024,30,770180.9878205407,6270785.877911741,present,0.12625791306109768
-2281024,31,770181.8516063594,6270785.348745653,present,0.1176928259104328
-2281024,32,770182.7153921782,6270784.819579567,present,0.13194787800981253
-2281024,33,770183.579177997,6270784.290413479,present,0.09812175685762924
-2281024,34,770184.4429638156,6270783.761247392,present,0.14602227437133034
-2281024,35,770185.3067496344,6270783.232081305,present,0.12978799375808744
-2281024,36,770186.1705354531,6270782.702915218,present,0.07314663688629461
-2281024,37,770187.0343212719,6270782.17374913,present,0.16003583849595698
-2281024,38,770187.8981070907,6270781.644583044,present,0.07634892637457394
-2281024,39,770188.7618929094,6270781.115416956,present,0.034634809871280925
-2281024,40,770189.6256787282,6270780.58625087,present,0.07691754335235969
-2281024,41,770190.489464547,6270780.057084782,present,0.03456019867497484
-2281024,42,770191.3532503657,6270779.527918695,present,0.10141596814270541
-2281024,43,770192.2170361845,6270778.998752608,present,0.07032283895917109
-2281024,44,770193.0808220032,6270778.46958652,present,0.03651886709725403
-2281024,45,770193.944607822,6270777.940420433,present,0.10117462421620477
-2281024,46,770194.8083936408,6270777.411254346,present,0.06155792239789001
-2281024,47,770195.6721794595,6270776.882088259,present,0.05658458119660454
-2281024,48,770196.5359652783,6270776.352922172,present,0.05498114332871253
-2281024,49,770197.3997510971,6270775.823756085,present,0.12208471164746566
-2281024,50,770198.2635369158,6270775.294589997,present,0.08376290971561828
-2281024,51,770199.1273227346,6270774.765423911,present,0.1227625840536318
-2281024,52,770199.9911085534,6270774.236257823,present,0.10985981332523878
-2281024,53,770200.854894372,6270773.707091737,present,0.08668733035393865
-2281024,54,770201.7186801909,6270773.177925649,present,0.04227652323794756
-2281024,55,770202.5824660095,6270772.648759562,present,0.09753578089632624
-2281024,56,770203.4462518283,6270772.119593475,present,0.049734912534818224
-2281024,57,770204.3100376471,6270771.5904273875,present,0.010046741730667741
-2281024,58,770205.1738234658,6270771.0612613,present,0.06898533549423946
-2281024,59,770206.0376092846,6270770.532095213,present,0.04985911458556254
-2281024,60,770206.9013951034,6270770.002929126,present,0.133380725724166
-2281024,61,770207.7651809221,6270769.473763039,present,0.1181313799057006
-2281024,62,770208.6289667409,6270768.944596952,present,0.025424052933344574
-2281024,63,770209.4927525597,6270768.415430864,present,0.02339173487647433
-2281024,64,770210.3565383784,6270767.886264778,present,0.11175191849809306
-2281024,65,770211.2203241972,6270767.35709869,present,0.06270066966907288
-2281024,66,770212.0841100159,6270766.827932604,present,0.05645012419637398
-2281024,67,770212.9478958347,6270766.298766516,present,0.1097671884201522
-2281024,68,770213.8116816535,6270765.769600429,present,0.02350752093085862
-2281024,69,770214.6754674722,6270765.240434342,present,0.10281699676482957
-2281024,70,770215.539253291,6270764.711268255,present,0.022509316107254453
-2281024,71,770216.4030391098,6270764.182102167,present,0.07550959207136397
-2281024,72,770217.2668249285,6270763.6529360805,present,0.05856512117784643
-2281024,73,770218.1306107473,6270763.123769993,present,0.04476762907632093
-2281024,74,770218.994396566,6270762.594603906,present,0.0741703507629036
-2281024,75,770219.8581823847,6270762.065437819,present,0.06791691435699379
-2281024,76,770220.7219682036,6270761.536271731,present,0.08500916062039887
-2281024,77,770221.5857540222,6270761.007105645,present,0.11229490631355635
